Provinsi / Kabupaten / Kota,Rata-Rata Lama Sekolah (Tahun)
KENDAL,7.19
BATANG,6.74
PEKALONGAN,6.8
PEMALANG,6.56
TEGAL,6.62
BREBES,6.07
KOTA MAGELANG,10.42
KOTA SURAKARTA,10.53
KOTA SALATIGA,9.98
KOTA SEMARANG,10.37
KOTA PEKALONGAN,8.75
KOTA TEGAL,8.33
DI YOGYAKARTA,9.33
KULON PROGO,8.37
BANTUL,9.02
GUNUNG KIDUL,7.79
SLEMAN,10.55
KOTA YOGYAKARTA,11.56
JAWA TIMUR,7.53
PACITAN,7.01
PONOROGO,7.49
TRENGGALEK,7.33
TULUNGAGUNG,7.97
BLITAR,7.41
KEDIRI,7.75
MALANG,7.08
LUMAJANG,6.52
JEMBER,6.8
BANYUWANGI,7.25
BONDOWOSO,5.94
SITUBONDO,6.28
PROBOLINGGO,6.31
PASURUAN,6.89
SIDOARJO,10.23
MOJOKERTO,8.22
JOMBANG,8.06
NGANJUK,7.62
MADIUN,7.47
MAGETAN,7.86
NGAWI,7.06
BOJONEGORO,6.72
TUBAN,6.82
LAMONGAN,7.79
GRESIK,9
BANGKALAN,5.75
SAMPANG,4.39
PAMEKASAN,6.42
SUMENEP,5.73
KOTA KEDIRI,10.29
KOTA BLITAR,9.87
KOTA MALANG,10.89
KOTA PROBOLINGGO,8.79
KOTA PASURUAN,9.07
KOTA MOJOKERTO,10.12
KOTA MADIUN,10.54
KOTA SURABAYA,10.12
KOTA BATU,8.76
BANTEN,8.61
PANDEGLANG,7.04
LEBAK,6.29
TANGERANG,8.96
SERANG,7.48
KOTA TANGERANG,10.07
KOTA CILEGON,9.72
KOTA SERANG,8.59
KOTA TANGERANG SELATAN,10.99
BALI,8.58
JEMBRANA,7.87
TABANAN,8.4
BADUNG,9.51
GIANYAR,8.9
KLUNGKUNG,7.43
BANGLI,6.7
KARANG ASEM,5.9
BULELENG,7.55
KOTA DENPASAR,11.05
NUSA TENGGARA BARAT,7.2
LOMBOK BARAT,6.11
LOMBOK TENGAH,6.19
LOMBOK TIMUR,6.92
SUMBAWA,7.65
DOMPU,7.99
BIMA,7.6
SUMBAWA BARAT,8.03
LOMBOK UTARA,5.73
KOTA MATARAM,9.69
KOTA BIMA,10.22
NUSA TENGGARA TIMUR,7.16
SUMBA BARAT,6.64
SUMBA TIMUR,6.49
KUPANG,7.49
TIMOR TENGAH SELATAN,6.71
TIMOR TENGAH UTARA,6.94
BELU,6.76
ALOR,7.56
LEMBATA,7.38
FLORES TIMUR,7.1
SIKKA,6.8
ENDE,7.76
NGADA,7.66
MANGGARAI,6.87
ROTE NDAO,6.71
MANGGARAI BARAT,6.87
SUMBA TENGAH,6.23
SUMBA BARAT DAYA,5.39
NAGEKEO,7.39
MANGGARAI TIMUR,6.57
SABU RAIJUA,5.72
MALAKA,6.07
KOTA KUPANG,11.29
KALIMANTAN BARAT,7.17
SAMBAS,6.22
BENGKAYANG,6.55
LANDAK,7.55
PONTIANAK,6.66
SANGGAU,6.74
KETAPANG,6.65
SINTANG,6.74
KAPUAS HULU,7.18
SEKADAU,6.84
MELAWI,7.29
KAYONG UTARA,6.02
KUBU RAYA,7.12
KOTA PONTIANAK,9.86
KOTA SINGKAWANG,7.7
KALIMANTAN TENGAH,8.17
KOTAWARINGIN BARAT,7.99
